time,compass_x,compass_z
0.032,-0.035026306777916474,0.00014418291363346933
0.064,-0.06877631427417064,0.00026635617645542615
0.096,-0.10129536562846593,0.0004610628323554844
0.128,-0.13266312719992082,0.0007013410290618225
0.16,-0.16294828340011966,0.0009680401834722482
0.192,-0.19221069324888285,0.0012479005020736306
0.224,-0.2205029971491683,0.0015315609779949627
0.256,-0.24787184103756965,0.0018123010515536599
0.28800000000000003,-0.27435866379058554,0.002088172280384985
0.32,-0.3000007581509142,0.0023566082235912202
0.352,-0.3248318254405396,0.002615562373070666
0.384,-0.3488824496098158,0.0028644032131315907
0.41600000000000004,-0.3721805888989351,0.0031029698068683158
0.448,-0.3947519584818546,0.003331402708555289
0.48,-0.4166203539585717,0.0035500274577602987
0.512,-0.43780792495770254,0.0037592743197783
0.544,-0.45833540639491294,0.003959623977834158
0.5760000000000001,-0.4782223136979315,0.004151571671228212
0.608,-0.4974871073624217,0.004335604323751017
0.64,-0.5161473314412186,0.004512186715162601
0.672,-0.5342197299316743,0.0046817538554497036
0.704,-0.5517203444775066,0.004844707531384367
0.736,-0.5686645963226331,0.005001415585288016
0.768,-0.5850673550333356,0.005152212914575669
0.8,-0.600942996134605,0.005297403490450183
0.8320000000000001,-0.6163054494815936,0.00543726291672166
0.864,-0.6311682399036996,0.005572041208602067
0.896,-0.6455445214133635,0.005701965583769942
0.928,-0.6594471060605416,0.005827243136750939
0.96,-0.6728886938561475,0.005948134576681415
0.992,-0.6858812580561053,0.0060672101151293765
1.024,-0.6984367013145573,0.00618168578723194
1.056,-0.710566683505901,0.00629178474924551
1.088,-0.7225240609078762,0.00639967079735833
1.12,-0.7344730196467035,0.006506998994516434
1.1520000000000001,-0.7464027507529063,0.006613936588883205
1.184,-0.7583015586753165,0.006720352438915845
1.216,-0.7701572627515285,0.006824877467754724
1.248,-0.7819568404134105,0.006928990600002455
1.28,-0.7936864570852585,0.00703256941720886
1.312,-0.8053314756235593,0.007135473455036723
1.344,-0.8168764208790752,0.0072375566681547815
1.3760000000000001,-0.8283049363536292,0.007338666876689442
1.408,-0.8395997328009551,0.007438645081751934
1.44,-0.850742528310084,0.007537324733809674
1.472,-0.8617139791980183,0.007634530946145655
1.504,-0.8724936007812206,0.007730079642854323
1.536,-0.8830596767876159,0.007823776628188613
1.568,-0.8933891558023623,0.007915416560941203
1.6,-0.9034575326957386,0.008004781813775999
1.6320000000000001,-0.9132387124371446,0.008091641192823216
1.6640000000000001,-0.9227048530233838,0.008175748487149644
1.696,-0.931826183398041,0.008256840810508426
1.728,-0.9405707911510905,0.008334636688555488
1.76,-0.9489043733794676,0.008408833832738815
1.792,-0.9567899422418279,0.008479106526331576
1.824,-0.9641874742856631,0.008545102527131398
1.856,-0.9710534893196797,0.008606439363121944
1.8880000000000001,-0.9773405400933297,0.008662699858880652
1.92,-0.9829965877994361,0.00871342667721164
1.952,-0.9879642296325764,0.008758115585623009
1.984,-0.9921797320748028,0.00879620705037044
2.016,-0.9955718052816599,0.008827075605376553
2.048,-0.9980600267353983,0.0088500162128088
2.08,-0.9995527809546074,0.008864226482395609
2.112,-0.9999445174985847,0.008868783072641153
2.144,-0.9991455197926132,0.008862997230549806
2.176,-0.9972366489639304,0.008846902425699923
2.208,-0.9943316031338475,0.008821349578212529
2.24,-0.9905273849793277,0.008787410135688234
2.2720000000000002,-0.9859079598125604,0.008745982727340078
2.3040000000000003,-0.9805469120928959,0.008697828274187453
2.336,-0.9745094209392534,0.008643599336801299
2.368,-0.9678537571329923,0.00858386261377813
2.4,-0.9606324361146082,0.008519116206928853
2.432,-0.9528931188204103,0.008449802882029933
2.464,-0.9446793245888506,0.008376320264714248
2.496,-0.9360310019887107,0.008299028695296723
2.528,-0.9269849908876925,0.008218257300633112
2.56,-0.9175754003431636,0.00813430871208988
2.592,-0.9078339206886058,0.008047462757893328
2.624,-0.8977900837035496,0.007957979379571557
2.656,-0.8874714814666492,0.00786610096134936
2.688,-0.8769039520515988,0.007772054214580569
2.72,-0.8661117383960658,0.00767605172361334
2.7520000000000002,-0.8551176252899348,0.007578293232487133
2.7840000000000003,-0.8439430583743661,0.007478966731570796
2.816,-0.8326082482340555,0.007378249388112954
2.848,-0.8211322620406868,0.00727630835345353
2.88,-0.8095331047212162,0.007173301471352407
2.912,-0.7978277912469259,0.0070693779058100085
2.944,-0.7860324113431145,0.006964678702288225
2.976,-0.7741621876860243,0.006859337292980643
3.008,-0.7622315284687416,0.006753479954389075
3.04,-0.750254075070428,0.006647226223724035
3.072,-0.7382425539202785,0.006540897845453402
3.104,-0.7262093691583857,0.006435547090099209
3.136,-0.714166155388889,0.006329793262885197
3.168,-0.7021238817730894,0.00622379546194317
3.2,-0.6897888138665613,0.006115324004966501
3.232,-0.6770284367461055,0.006003025261266077
3.2640000000000002,-0.6638310387669337,0.005886698142113364
3.2960000000000003,-0.6501849283005859,0.005765853409308484
3.3280000000000003,-0.6360779479562598,0.005638882669898723
3.36,-0.6214977718255339,0.0055081154672231465
3.392,-0.6064319062326003,0.005373370200095152
3.424,-0.5908675877565186,0.005234467139130908
3.456,-0.5747917522667854,0.005091237723178644
3.488,-0.5581910022909645,0.004943521428929957
3.52,-0.5410515716429247,0.0047911631439487585
3.552,-0.5233592864729126,0.004634010985979032
3.584,-0.505099521747892,0.004471914460887564
3.616,-0.4862571519948527,0.004304722870245946
3.648,-0.46681649492983757,0.004132283893986656
3.68,-0.44676124633581116,0.003954442284114563
3.712,-0.42607440422484644,0.003771038612724987
3.744,-0.40473817990121136,0.0035819080219196145
3.7760000000000002,-0.38273389300175426,0.003386878924799673
3.8080000000000003,-0.3600418468880034,0.0031857716055486655
3.84,-0.3366411798457242,0.0029783966624578975
3.872,-0.3125096863358018,0.0027645532301268454
3.904,-0.2876236009278117,0.002544026905218849
3.936,-0.26195733538086996,0.0023165872827809733
3.968,-0.23548315639282563,0.0020819849853868965
4.0,-0.2081707874911436,0.0018399480323716558
4.032,-0.17998691289722546,0.0015901773468457968
4.064,-0.1508945532148714,0.0013323411273604494
4.096,-0.12085227131568627,0.0010660677086660793
