time,gps_x,gps_y
0,-0.39051236992496885,0.3665661814462386
32,-0.3890880008181946,0.3653237502980317
64,-0.38768341991966704,0.36393619969693863
96,-0.38625232267839227,0.36255910033844757
128,-0.3848206593391078,0.36117675042151437
160,-0.3833888760177097,0.3597889538589375
192,-0.3819570432157296,0.3583960903002187
224,-0.3805251827016153,0.35699873858201414
256,-0.37909329037274947,0.35559753636651503
288,-0.3776613504154856,0.35419310386380437
320,-0.3762293437208294,0.3527860059141372
352,-0.37479725255950386,0.3513767365357508
384,-0.37336506287619636,0.3499657161660876
416,-0.37193276511746803,0.34855329565676146
448,-0.3705003542007353,0.3471397634739148
480,-0.3690678290209072,0.3457253540392621
512,-0.367635191747394,0.34431025605960025
544,-0.3662024470668815,0.34289462024651973
576,-0.36476960146223175,0.34147856615789257
608,-0.3633366625751649,0.34006218808337113
640,-0.3619036386730162,0.3386455600011806
672,-0.3604705382229784,0.3372287396866158
704,-0.35903737248944234,0.33581176383129885
736,-0.35760415802276746,0.33439465469287855
768,-0.35617090017195324,0.3329774440924344
800,-0.35473760403617943,0.3315601566373034
832,-0.35330427436652906,0.330142811282738
864,-0.3518709134156322,0.32872544044563834
896,-0.35043752455285526,0.32730806174179006
928,-0.3490041122918588,0.32589067743778666
960,-0.34757068050518436,0.3244732891405756
992,-0.3461372343085597,0.32305589787913486
1024,-0.34470377765849164,0.32163850718227643
1056,-0.34327031237454536,0.3202211176334586
1088,-0.3418368400017397,0.31880372918623284
1120,-0.3404033618395347,0.3173863417394072
1152,-0.3389698789736379,0.3159689551654828
1184,-0.33753639230540233,0.3145515693293909
1216,-0.3361029025785318,0.31313418410026694
1248,-0.3346694104029845,0.31171679935830726
1280,-0.3332359162760963,0.31029941499823455
1312,-0.33180242060103576,0.30888203093049965
1344,-0.33036892370276516,0.30746464708103377
1376,-0.32893542584171687,0.3060472633901344
1408,-0.3275019272254125,0.3046298798108891
1440,-0.3260684280182567,0.3032124963074119
1472,-0.3246349283497303,0.30179511285307
1504,-0.3232014283211969,0.3003777294288118
1536,-0.3217679280115186,0.29896034602165655
1568,-0.3203344274816599,0.297542962623374
1600,-0.3189009267784387,0.2961255792293604
1632,-0.3174674259375619,0.2947081958377028
1664,-0.31603392498606964,0.29329081244841665
1696,-0.31460042394428955,0.2918734290628356
1728,-0.31316692282739067,0.2904560456831336
1760,-0.311733421646612,0.28903866231195774
1792,-0.3102999204102269,0.28762127895215267
1824,-0.308866419124296,0.28620389560655946
1856,-0.3074329177932507,0.2847865122778733
1888,-0.3059994164203427,0.28336912896854766
1920,-0.3045659150079867,0.28195174568073456
1952,-0.3031324135580206,0.2805343624162507
1984,-0.30169891207190025,0.27911697917656436
2016,-0.3002654105508435,0.2776995959627966
2048,-0.29883190899593576,0.2762822127757318
2080,-0.2973984074082055,0.2748648296158357
2112,-0.29596490578867657,0.2734474464832777
2144,-0.2945314041384035,0.27203006337795493
2176,-0.29309790245849376,0.27061268029951857
2208,-0.29166440075011957,0.2691952972473998
2240,-0.29023089901452304,0.26777791422083624
2272,-0.2887973972530151,0.2663605312188965
2304,-0.2873638954669712,0.26494314824050574
2336,-0.28593039365782313,0.2635257652844686
2368,-0.2844968918270494,0.2621083823494919
