time,gps_x,gps_y
0,-0.4029583318162674,0.12473199224166549
32,-0.4009424725050947,0.12473199141716139
64,-0.39892660482767806,0.12473199285851766
96,-0.3969107280673823,0.12473199546317107
128,-0.39489484225126326,0.12473199845847993
160,-0.3928789480428921,0.12473200139418536
192,-0.3908630463860928,0.12473200403197668
224,-0.3888471383008483,0.1247320062690487
256,-0.3868312247729295,0.12473200808583262
288,-0.38481530669965786,0.12473200951074057
320,-0.38279938486841664,0.12473201059684495
352,-0.3807834599535299,0.12473201140687827
384,-0.37876753252279566,0.12473201200397807
416,-0.37675160304850486,0.12473201244634421
448,-0.3747356719199681,0.12473201278450863
480,-0.3727197394559144,0.12473201306030171
512,-0.3707038059159319,0.12473201330687618
544,-0.36868787151059235,0.12473201354934872
576,-0.3666719364101726,0.12473201380576254
608,-0.36465600075202814,0.12473201408817583
640,-0.362640064646744,0.12473201440375287
672,-0.36062412818321643,0.1247320147557845
704,-0.3586081914328207,0.12473201514459875
736,-0.3565922544528087,0.12473201556834516
768,-0.35457631728906863,0.124732016023651
800,-0.3525603799783582,0.12473201650615613
832,-0.3505444425501068,0.12473201701093854
864,-0.3485285050278672,0.12473201753284445
896,-0.34651256743048336,0.12473201806673762
928,-0.34449662977302786,0.12473201860768168
960,-0.3424806920675544,0.12473201915106825
992,-0.34046475432370077,0.1247320196927021
1024,-0.3384488165491721,0.12473202022885276
1056,-0.3364328787501278,0.12473202075628048
1088,-0.33441694093149116,0.12473202127224349
1120,-0.3324010030971972,0.12473202177449114
1152,-0.3303850652503909,0.12473202226124755
1184,-0.32836912739358565,0.12473202273118864
1216,-0.32635318952879,0.12473202318341492
1248,-0.3243372516576092,0.12473202361742187
1280,-0.32232131378132584,0.12473202403306913
1312,-0.3203053759009651,0.1247320244305492
1344,-0.31828943801734594,0.12473202481035649
1376,-0.31627350013112304,0.12473202517325672
1408,-0.31425756224281953,0.12473202552025736
1440,-0.3122416243528534,0.12473202585257848
1472,-0.3102256864615588,0.1247320261716248
1504,-0.30820974856920275,0.1247320264789585
1536,-0.30619381067599855,0.1247320267762726
1568,-0.30417787278211683,0.12473202706536557
1600,-0.30216193488769394,0.1247320273481162
1632,-0.3001459969928388,0.12473202762645949
1664,-0.29813005909763857,0.12473202790236328
1696,-0.29611412120216285,0.12473202817780545
1728,-0.29409818330646725,0.12473202845475212
1760,-0.2920822454105963,0.12473202873513652
1792,-0.29006630751458556,0.1247320290208389
1824,-0.2880503696184632,0.12473202931366735
1856,-0.28603443172225207,0.1247320296153397
1888,-0.2840184938259701,0.12473202992746665
1920,-0.28200255592963175,0.12473203025153604
1952,-0.2799866180332484,0.12473203058889848
1984,-0.27797068013682913,0.12473203094075459
2016,-0.27595474224038125,0.12473203130814352
2048,-0.2739388043439103,0.12473203169193318
2080,-0.27192286644742103,0.12473203209281213
2112,-0.2699069285509168,0.12473203251128316
2144,-0.2678909906544005,0.12473203294765872
2176,-0.2658750527578743,0.12473203340205792
2208,-0.26385911486133995,0.12473203387440567
2240,-0.2618431769647988,0.12473203436443328
2272,-0.259827239068252,0.12473203487168118
2304,-0.25781130117170037,0.12473203539550316
2336,-0.2557953632751446,0.12473203593507255
2368,-0.25377942537858533,0.12473203648938981
2400,-0.25176348748202304,0.12473203705729201
2432,-0.2497475495854582,0.12473203763746363
2464,-0.2477316116888911,0.12473203822844882
2496,-0.2457156737923222,0.12473203882866488
2528,-0.24369973589575183,0.1247320394364171
2560,-0.24168379799918027,0.12473204004991446
2592,-0.2396678601026079,0.12473204066728627
2624,-0.23765192220603495,0.12473204128659948
2656,-0.23563598430946178,0.12473204190587674
2688,-0.23362004641288858,0.12473204252311465
2720,-0.23160410851631563,0.12473204313630247
2752,-0.22958817061974313,0.12473204374344066
2784,-0.22757223272317123,0.1247320443425595
2816,-0.22555629482660014,0.1247320449317374
2848,-0.2235403569300299,0.12473204550911873
2880,-0.22152441903346062,0.12473204607293104
2912,-0.21950848113689234,0.12473204662150149
2944,-0.21749254324032502,0.12473204715327248
2976,-0.21547660534375856,0.12473204766681609
3008,-0.21346066744719294,0.12473204816084747
3040,-0.211444729550628,0.12473204863423669
3072,-0.20942879165406364,0.1247320490860194
3104,-0.2074128537574996,0.12473204951540583
3136,-0.20539691586093575,0.1247320499217882
3168,-0.20338097796437188,0.12473205030474659
3200,-0.20136504006780784,0.12473205066405278
3232,-0.19934910217124335,0.12473205099967265
3264,-0.1973331642746783,0.12473205131176665
3296,-0.19531722637811255,0.12473205160068844
3328,-0.1933012884815459,0.12473205186698182
3360,-0.1912853505849783,0.1247320521113759
3392,-0.1892694126884097,0.12473205233477858
3424,-0.18725347479184007,0.12473205253826827
3456,-0.18523753689526945,0.12473205272308428
3488,-0.18322159899869783,0.12473205289061544
3520,-0.1812056611021253,0.12473205304238756
3552,-0.17918972320555202,0.12473205318004955
3584,-0.17717378530897812,0.1247320533053584
3616,-0.1751578474124038,0.12473205342016318
3648,-0.1731419095158292,0.12473205352638823
3680,-0.17112597161925455,0.12473205362601557
3712,-0.16911003372268008,0.12473205372106677
3744,-0.1670940958261059,0.12473205381358468
3776,-0.16507815792953223,0.12473205390561463
3808,-0.16306222003295928,0.12473205399918591
3840,-0.16104628213638714,0.12473205409629308
3872,-0.15903034423981594,0.12473205419887795
3904,-0.1570144063432457,0.12473205430881182
3936,-0.15499846844667653,0.12473205442787832
3968,-0.15298253055010838,0.12473205455775731
4000,-0.15096659265354126,0.1247320547000094
4032,-0.14895065475697505,0.12473205485606194
4064,-0.1469347168604097,0.12473205502719585
4096,-0.14491877896384503,0.12473205521453408
4128,-0.14290284106728088,0.12473205541903146
4160,-0.14088690317071706,0.12473205564146592
4192,-0.1388709652741534,0.12473205588243158
4224,-0.1368550273775897,0.12473205614233344
4256,-0.13483908948102571,0.12473205642138366
4288,-0.13282315158446129,0.12473205671959989
4320,-0.13080721368789627,0.12473205703680512
4352,-0.12879127579133046,0.12473205737262956
