time,distance
0,63.661986392768526
32,69.72902373751984
64,63.764686564764126
96,68.31835944115898
128,61.33395877391072
160,66.76852741590989
192,71.48557095442982
224,69.98390175304829
256,67.79212422639874
288,68.71471178911493
320,71.72911516248047
352,70.27284207699638
384,65.12323371561816
416,70.23625733432512
448,69.9682797330093
480,67.0684301241127
512,69.65102445933502
544,66.59716278911816
576,62.72145560694713
608,66.81719804950698
640,67.91515692747836
672,69.74630043932844
704,65.80231044871363
736,65.04791981242943
768,62.822918280007435
800,67.04181261225409
832,64.97159379863234
864,67.4289619275618
896,64.47864997406009
928,63.38677652571192
960,68.08024756492544
992,70.8050159716955
1024,72.76020843703861
1056,68.85290062479334
1088,63.73115423201243
1120,66.48059923421282
1152,66.5327113795977
1184,64.20646442918029
1216,74.82776379635463
1248,64.9405119371097
1280,66.83767316804558
1312,60.77796243616181
1344,57.39907490458216
1376,68.63013710310624
1408,58.89512668185592
1440,69.27001688675018
1472,71.09819316326478
1504,59.88680879021298
1536,67.05578931199047
1568,72.75844863056022
1600,71.89432167303846
1632,65.89048608150355
1664,61.55329742905028
1696,67.64144326000265
1728,67.55304238632345
1760,64.9923054327153
1792,71.16212433205023
1824,66.8273302930709
1856,67.12673896939106
1888,66.32599338023135
1920,65.57367933306284
1952,54.66788724248961
1984,64.85075973104982
2016,72.53495022642717
2048,70.14256897284444
2080,69.06712798467719
2112,61.35353119302679
2144,69.8331272980764
2176,65.33383297651572
2208,64.64161959475977
2240,71.60147956838499
2272,68.78820378143172
2304,63.284387955928416
2336,63.42266960946911
2368,74.12034531958615
2400,68.4568694730388
2432,66.61464121437402
2464,70.78224464206129
2496,68.14640803173114
2528,63.746205481911275
2560,68.09786643640629
2592,69.4194044118152
2624,69.67955265263906
2656,65.876334691924
2688,73.48717565907434
2720,65.62216648323336
2752,66.45167333172259
2784,66.56417159222529
2816,68.15500764082111
2848,66.60973873555463
2880,60.3387528670366
2912,64.81628776062458
2944,67.73475469462775
2976,66.99590158750681
3008,67.1129761903214
3040,73.45421843247843
3072,66.61884897556057
3104,68.6791909262602
3136,62.182255119418606
3168,61.45962502793987
3200,67.8788553899973
3232,72.35805931929366
3264,67.5776076592859
3296,68.48916154555997
3328,69.8089163927495
3360,65.16600472560347
3392,66.02356361090541
3424,71.23676795223558
3456,65.37089541997756
3488,70.9666572520742
3520,70.7336362441394
3552,69.76329198996213
3584,67.51036077066911
3616,67.67297929552656
3648,69.29532875800695
3680,62.06946648486711
3712,66.30708791724884
3744,68.28440776068838
3776,71.3196517196158
3808,65.36160816712817
3840,72.05570758177198
3872,73.65669671443409
3904,67.12451686069434
3936,63.063389288891486
3968,63.23479131612567
4000,62.727858419068184
4032,67.62864513043988
4064,63.58387453688988
4096,61.20973534693474
4128,66.10801796624938
4160,69.33403643362249
4192,67.37587211248999
4224,65.98725132236257
4256,69.81161686957132
4288,70.83771848343014
4320,67.34719874909506
4352,62.09980496563806
4384,67.02902438839966
4416,63.97857443854257
4448,62.7770968956903
4480,67.7971033575632
4512,78.21234288515927
4544,85.03091761009682
4576,92.37103383655469
4608,101.33136509448289
4640,107.99152016459098
4672,110.72210126623287
4704,115.7025889022544
4736,107.23216363158643
4768,119.8168707068117
4800,128.6102070157609
4832,135.13792850885787
4864,142.5112648832746
4896,155.56484227754737
4928,170.06663453358493
4960,192.8780196460548
4992,204.92631782974038
5024,229.4485241190744
5056,248.54652524918916
5088,288.7630108909956
5120,318.0724995661077
5152,359.7486232180769
5184,376.39275561230636
5216,462.43142976377
5248,597.5827981745441
5280,828.1176878265495
5312,1273.2822286895153
5344,1086.6851351225719
5376,638.3492158276208
5408,819.9592640319488
5440,899.4700186286174
5472,927.5481209509404
5504,951.6297991678308
5536,971.7120784744938
5568,984.704214838805
5600,1020.707051892224
5632,992.4047068287246
5664,1055.300879949656
